Feature,Group,Correlation,Weight_Percentage,Abs_Correlation_Rank,Statistical_Significance
pumin1_4d,EXTRA,0.24637488000194027,15.33,2.0,0.00016036122151702443
pumin5_8d,EXTRA,0.1962841941569972,12.21,3.0,0.0027923696365510136
E_diff_12,EXTRA,-0.086839640841094,5.4,8.0,0.18942120772562634
pumin1_4u,EXTRA,-0.07219111207850316,4.49,9.0,0.275585190975275
pumin5_8u,EXTRA,-0.04327894765824849,2.69,10.0,0.5136997299550808
seedNumber_1,GROUP_1,0.290218953646689,18.06,1.0,7.67419109783519e-06
E_1,GROUP_1,-0.1775077114655577,11.04,4.0,0.006958238481309597
seedEbest_1,GROUP_1,-0.14662891694969424,9.12,5.0,0.026171723148961514
Pu2_1,GROUP_1,0.029066689759298315,1.81,11.0,0.6610172847473623
Etotal_1,GROUP_1,-0.02755809963975654,1.71,12.0,0.677599433072022
E_hybrid_1,GROUP_1,-0.023833205936789864,1.48,13.0,0.7191984750507336
Pu1_1,GROUP_1,0.02026606660898149,1.26,14.0,0.7598277837891585
seedNumber_3,GROUP_3,0.13031371528748684,8.11,6.0,0.048385967762039885
ED2_3,GROUP_3,-0.11689469774989683,7.27,7.0,0.07685930768841308
